objectid,title,title-es,creator,description-en,description-es,date,location-en,location-es,Latitude,Longitude,subject-en,subject-es,tags-en,tags-es,source,type,format,rights,rightsstatement,object_location,filename
latchbo0011,Benito's Sopaipillas,Las sopaipillas de Benito,Ana Baca; Anthony Accardo,"As they prepare to make the traditional, pillowy bread called sopaipilla, Cristina's grandmother tells about the time her great-grandfather, aided by a scarecrow, brought an end to a drought and, in the process, helped make the first sopaipilla.",,2006,"Albuquerque, New Mexico","Alburquerque, Nuevo México; Brooklyn, Nueva York ",35.08423731,-106.6414756,Mexican Americans--Juvenile fiction; Mexican Americans--Fiction; Bread--Fiction; Droughts--Fiction; Spanish language materials--Bilingual,Mexicano americanos--Literatura Juvenil; Mexicano americanos-- Ficción; Pan--Ficción; Sequías--Ficción; Materiales en español--Bilingüe,Sopaipiilas; Family history; Storytelling; Drought; Scarecrows; Traditional cooking; Recipe,Sopaipiilas; Historia de familia; narrativos de cuentos; Sequías; espantapájaros; cocinando tradicional; receta ,,Image; StillImage,image/jpeg,Arte Público Press,,,latchbo0011.jpg
latchbo0012,Benjamin and the Word,Benjamín y la palabra,Daniel A. Olivas; Don Dyen,"When Benjamin beats his friend James at handball, James calls him a word that hurts his feelings but Benjamin with his father's help comes to understand the ill intent and prejudice that exist behind the use of certain words.",,2005,"San Fernando Valley, Los Angeles, California","San Fernando Valley, California; Bucks County, Pennsylvania",35.09139692,-106.596666,Sportmanship--Fiction; Prejudices--Fiction; Racially mixed people--Fiction; Spanish language materials--Bilingual,Deportividad--Ficción; Prejuicios--Ficción; Gente mestiza--Ficción; Materiales en español--Bilingüe,Immigrants; Mexico; Biracial; Discrimination; Friendship; Father and sons,Inmigrantes; México; birracial; discriminación; amistad; Padres y hijos,,Image; StillImage,image/jpeg,Arte Público Press,,,latchbo0012.jpg
latchbo0013,Big Enough,Bastante Grande,Ofelia Dumas Lachtman; Enrique O. Sánchez,"When a treasured piñata is stolen, little Lupita discovers that she is big enough to help her mother get it back.",,1998,"Los Angeles, California; Dominican Republic; Florida","Los Angeles, California; República Dominicana; Florida",34.0507663,-118.2648393,Size--Fiction; Mothers and daughters--Fiction; Piñatas--Fiction; Mexican Americans--Fiction; Stealing--Fiction; Spanish language materials--Bilingual,Tamaños--Ficción; Madres y hijas--Ficción; Piñatas--Ficción; Mexicano americanos--Ficción; Robando--Ficción; Materiales en español--Bilingüe,Piñatas; Doves; Wooden Carvings; Sentimental value; Family; Community; Restaurant; Growing up; Wanting to help,Piñatas; Palomas; esculturas de madera;  Familia; Comunidad; Restaurantes; creciendo,,Image; StillImage,image/jpeg,Arte Público Press,,,latchbo0013.jpg
latchbo0014,Broken Butterfly Wings,Alas de mariposa rotas,Raquel M. Ortiz,"Gabriela receives a pair of butterfly wings as a gift from her Titi Sylvia; but no matter how hard she tries she cannot seem to fly, however her father shows her she can fly anywhere in the world with her imagination.",,2021,"El Yunque National Rainforest, Puerto Rico","Lorain, Ohio; Bosque Nacional El Yunque, Sierra de Luquillo, Puerto Rico; ",18.31103763,-65.79144584,Butterfly wings--Fiction; Fathers and daughters--Fiction; Spanish language materials--Blingual,Alas de mariposas--Ficción; Padres y hijas--Ficción; Materiales en español–Bilingüe,El Yunque National Rainforest; Puerto Rico; Butterfly Wings; Imagination; Problemsolving,Bosque Nacional El Yunque; Puerto Rico; Alas de mariposas; imaginación; resolución de problemas,,Image; StillImage,image/jpeg,Arte Público Press,,,latchbo0014.jpg
latchbo0015,Butterflies on Carmen Street,Mariposas en la calle Carmen,Monica Brown; April Ward,"While she and her classmates wait for the caterpillars they are raising to be tranformed into Monarch butterflies, Julianita's grandfather tells her about the annual migratiion of these butterflies to his hometown in Mexico.",,2007,"Agangueo, Michoacán, Mexico",,19.60961826,-100.2926412,Monarch butterfly--Fiction; Butterflies--Fiction; Grandfathers--Fiction; Mexican Americans--Fiction; Spanish language materials--Bilingual,Mariposas monarcas--Ficción; Mariposas--Ficción; Abuelos--Ficción; Mexicano americanos--Ficción; Materiales en español--Bilingüe,Monarch buttlerflies; Caterpillars; Mexico; School project; Migration; Stories; Grandfathers,Mariposas monarcas; Orugas; México; Proyecto de escuela; Migracion; Historias; Abuelos,,Image; StillImage,image/jpeg,Arte Público Press,,,latchbo0015.jpg
latchbo0016,Cecilia and Miguel are Best Friends,Cecilia y Miguel son mejores amigos,Diane Gonzales Bertrand; Thelma Muraida,A story of two best friends and moments throughout their lives together.,,2014,"San Antonio, Texas","San Antonio, Texas",29.43045738,-98.50924795,Best friends--Fiction; Friendship--Fiction; Mexican Americans--Fiction; Spanish language materials--Bilingual,Mejores amigos--Ficción; Amistad--Ficción; Mexicano americanos--Ficción; Materiales en español--Bilingüe,Friends; Best Friends; Memories; Life; Photo album; Stages of Life,Amigos; mejores amigos; recuerdos; la vida; album de fotos; etapas de vida,,Image; StillImage,image/jpeg,Arte Público Press,,,latchbo0016.jpg
latchbo0017,César Chávez: The Strugle for Justice,César Chávez: La lucha por la justicia,Richard Girswold del Castillo; Anthony Accardo,A simple biography of the man who worked to win fairer treatment of the migrant farm workers in California in the 1960s and to establish the United Farm Workers union.,,2002,"Delano, California","Yuma, Arizona; San Jose, California; Delano, California; Sacramento, California; Santa Ana, California; San Diego, California; Brooklyn, Nueva York",35.76915878,-119.2476734,"Chávez, César, 1927--Juvenile literature; Labor leaders--United States--Biography--Juvenile literature; Mexican Americans--Biography--Juvenile literature; Agricultural laborers--Labor unions--United States--History--Juvenile literature; United Farm Workers--History--Juvenile literature; Chávez, César, 1927--; Labor leaders; Mexican Americans--Biography; United Farm Workers; Spanish language materials--Bilingual","Chávez, César, 1927--Literatura juvenil; Líderes laborales--Estados Unidos--Biografía--Literatura juvenil; Mexican americanos--Biografía--Literatura juvenil; Trabajadores agrícolas--Estados Unidos--Historia--Literatura juvenil;",César Chávez; Biography; Historical Leader; Strikes; Mexican American; Nonfiction; Farm Workers; Delano Grape Strike,César Chávez; biografía; Líderes históricos; huelgas; Mexicano americano; no ficción; trabajadores agrícolas; huelga de uvas Delano,,Image; StillImage,image/jpeg,Arte Público Press,,,latchbo0017.jpg
latchbo0018,Chave's Memories,Los recuerdos de Chave,María Isabel Delgado; Yvonne Symank,"A woman recalls childhood visits to her grandparents' ranch in Mexico, where she and her brother played with her cousins and listened to the stories of an old ranch hand.",,1996,"Brownsville, Texas; Grand Prairie, Texas; Houston, Texas","Brownsville, Texas; Grand Prairie, Texas; Houston, Texas",25.92014964,-97.49550374,Play--Fiction; Storytelling--Fiction; Mexico--Fiction; Spanish language materials--Bilingual,Jugar--Ficción; México--Ficción; Materiales en español--Bilingüe,Mexico; Mexican American; Ranch; Family; Grandmothers; Cousins; Animals; Violins; Stories,México; Mexicano americanos; rancho; familia; abuelas; primos; animales; violines; cuentos,,Image; StillImage,image/jpeg,Arte Público Press,,,latchbo0018.jpg
latchbo0019,Chiles for Benito,Chiles para Benito,Ana Baca; Anthony Accardo,"As they prepare to make the tradtional ""chile ristras,"" strings of red peppers, Cristina's grandmother tells her the story of how magical chile seeds given to her great-grandfather, a farmer in the hills of New Mexico, ensured the continuation of the chile pepper. ",,2003,"Albuquerque, New Mexico","Alburquerque, Nuevo México;  ",35.08423731,-106.6414756,Mexican Americans--Juvenile fiction; Mexican Americans--Fiction; Peppers--Fiction; Spanish language materials--Blingual,Mexicano americanos--Literatura juvenil; Mexicano americanos--Ficción; Chiles--Ficción; Materiales en español--Bilingüe,Chiles; Red Chile Peppers; Ristras; Magical Seeds; Storytelling; Generational; Tradition; Community; Farming,Chiles; chiles rojos; ristras; semillas magicas; narración de cuentos; generacional; tradición; comunidad; agricultura,,Image; StillImage,image/jpeg,Arte Público Press,,,latchbo0019.jpg
latchbo0020,Clara and the Curandera,Clara y la curandera,Monica Brown; Thelma Muraida,"Clara's grumpiness leads her mother to take her to a neighbor who is a curandera, or healer, and although she is puzzled by her ""treatments,"" Clara dutifully helps her neighbors, is kind to her siblings and reads more books for a week.",,2011,"Flagstaff, Arizona; San Antonio, Texas","Flagstaff, Arizona; San Antonio, Texas",35.19787338,-111.653097,Behavior--Fiction; Healers--Fiction; Family life--Fiction; Spanish language materials--Bilingual,Conducta--Ficción; Curanderas--Ficción; Vida de familia--Ficción; Materiales en español--Bilingüe,Curandera; Sharing; Family; Behavior; Traditional Medicine; Hollistic,Curandera; compartiendo; familia; conducta; medicina tradicional; holístico,,Image; StillImage,image/jpeg,Arte Público Press,,,latchbo0020.jpg
latchbo0021,Dalia's Wondrous Hair,El cabello maravilloso de Dalia,Laura Lacámara,A Cuban girl transforms her long and unruly hair into a garden.,,2014,"Cuba; Venice, California","Cuba; Venice, California",23.11481167,-82.35575307,Hair--Fiction; Nature--Fiction; Magic--Fiction; Cuba--Fiction; Spanish language materials--Blingual,Cabello--Ficción; Naturaleza--Ficción; Mágico--Ficción; Cuba--Ficción; Materiales en español--Bilingüe,Hair; Cuba; Cuban; Butterflies; Neighbors; Trees; Mothers and daughters,Cabello; Cuba; Cubano; Mariposas; Vecinos; Arboles; Madres y hijas,,Image; StillImage,image/jpeg,Arte Público Press,,,latchbo0021.jpg
latchbo0022,Dancing Miranda,"Baila, Miranda, baila",Diane de Anda; Lamberto Alvarez,Miranda finds it difficult to rehearse for the dance recital after she learns that her mother's poliomyelitis kept her from dancing when she was a child.,,2001,"Los Angeles, California","Los Angeles, California; Fort Worth, Texas",34.0507663,-118.2648393,Dance--Fiction; Mothers and daughters--Fiction; Physically handicapped--Fiction; Poliomyelitis--Fiction; Hispanic Americans--Fiction; Spanish language materials--Bilingual,Bailar--Ficción; Madres y hijas--Ficción; Discapacitados físicamente--Ficción; Poliomielitis--Ficción; Hispanoamericanos--Ficción; Materiales en español--Bilingüe,Dancing; Children's Days; Polio; Mothers; Ballet; Sadness,Bailando; Día del Niño; poliomielitis; madres; ballet; tristeza,,Image; StillImage,image/jpeg,Arte Público Press,,,latchbo0022.jpg
latchbo0023,Delicious Hullabaloo,Pachanga deliciosa,Pat Mora; Francisco X. Mora,"In this poem in English and Spanish, lizards, armadillos and other creatures of the night make merry beneath the desert moon, enjoying the strains of a mariachi band and gobbling lots of delicious food.",,1998,"Santa Fe, New Mexico","El Paso, Texas; Santa Fe, Nuevo México; Cuidad de México, México",35.68553282,-105.945617,Childrens poetry. American--Translations into Spanish; Desert animals--Juvenile poetry; Desert animals--Poetry materials--Blingual,"Poesía de niños, Americano--Traducciones al español; Animales desierto--Poesía juvenil; Animales desierto--Materiales poesía--Bilingüe",Poetry; Rhyming; Lizards; Armadillos; Animals; Salsa; Plants; Desert,poesía; rima; lagartos; armadillos; animales; salsa (comida); plantas; desierto,,Image; StillImage,image/jpeg,Arte Público Press,,,latchbo0023.jpg
latchbo0024,Do I Belong Here?,¿Es este mi lugar?,René Caolto Laínez; Fabricio Vaden Broeck,"A young immigrant boy struggles to adjust to his new school as everything is in a language he does not understand, slowly he starts to learn English and keeps working hard to find he does belong here.",,2023,"San, Salvador, El Salvador; Los Angeles","El Salvador; Los Angeles, California; Cuidad de México, México ",13.69473844,-89.19138814,School--Fiction; Hispanic Americans--Fiction; Spanish language materials--Bilingual,Escuela--Ficción; Hispanoamericanos--Ficción; Materiales en español--Bilingüe,Immigration; Immigrants; New School; New Experience; Displacement; Language barrier; Translation,inmigración; inmigrantes; nueva escuela; nueva experiencia; desplazamiento; barrera de lengua; traducción,,Image; StillImage,image/jpeg,Arte Público Press,,,latchbo0024.jpg
latchbo0025,Do You Know the Cucuy?,¿Conoces al Cucuy?,Claudia Galindo; Jonathan Coombs,A child discovers that the monster grandfather maintains comes for bad children is really no monster at all.,,2008,"Dallas, Texas","Dallas, Texas",32.77322691,-96.78649691,Monsters--Fiction; Grandfathers--Fiction; Hispanic Americans--Fiction; Spanish language materials--Bilingual,Monstruos--Ficción; Abuelos--Ficción; Hispanoamericanos--Ficción; Materiales en español--Bilingüe,Boogeyman; Bogeyman; Monsters; Folklore; Friendship; Cousins,El cucuy; el coco; el cuco; monstruos; folklore; amistad; primos,,Image; StillImage,image/jpeg,Arte Público Press,,,latchbo0025.jpg
latchbo0026,"Earth, Little Earth","Tierra, Tierrita",Jorge Tetl Argueta; Felipe Ugalde Alcántara,"Describes--in English , Spanish, and Nahuat--the characterstics of the Earth from the perspective of nature.",,2023,El Salvador,"El Salvador; San Francisco, California; Cuidad de México, México ",13.79768246,-88.8960164,Earth--Fiction; Polyglot materials,Tierra--Ficción; Materiales políglotas,Indigenous Author; Trilingual; Earth; Nature; Planet; Animals; Plants; Interconnectedness,autor indígena; Trilingüe; tierra; naturaleza; planeta; animales; plantas; interconexión,,Image; StillImage,image/jpeg,Arte Público Press,,,latchbo0026.jpg
latchbo0027,"Esteban de Luna, Baby Rescuer!","Esteban de Luna, ¡Rescatador de Bebės!",Larissa M. Mercado-López; Alex Pardo DeLange,"When Esteban thinks his green cape lacks super powers he decides to sell it, but at the park as a storm blows in he finds a baby doll on the swings, so he rescues it by bringing it home safely, making him feel like a super hero after all.",,2017,"Gregory, Texas","Gregory, Texas; Fresno, California; Caracas, Venezuela; Gainesville, Florida",27.92230458,-97.28986926,Heros--Fiction; Imagination--Fiction; Dolls--Fiction,Hėroes--Ficción; Imaginación--Ficción; Muñecas--Ficción,Superhero; Cape; Family; Park; Dolls; Dreams; Imagination,superhéroe; capa; familia; parque; muñecas; sueños; imaginación,,Image; StillImage,image/jpeg,Arte Público Press,,,latchbo0027.jpg
latchbo0028,Estrellita in the Big City,Estrellita en la ciudad grande,Samuel Caraballo; Pablo Torrecilla,"Relates, in Spanish and English, a telephone conversation in which young Estrellita, who has recently moved to Brooklyn, New York, tells her grandmother, who still lives in Puerto Rico, all about her adventures in and near Manhattan.",,2008,"Manhattan, New York","Mahattan, Nueva York; Brooklyn, Nueva York; Vieques, Puerto Rico; Virginia; Madrid, España",40.71584923,-73.9905199,Immigrants--New York(State)--New York--Fiction; Puerto Ricans--New York(State)--New York--Fiction; Grandmothers--Fiction; New York (N.Y.)--Fiction,Inmigrantes--Nueva York(Estado)--Nueva York--Ficción; Puertorriqueños--Nueva York(Estado)--Nueva York--Ficción; Abuelas--Ficción; Nueva York (N.Y.)--Ficción,Immigrants; Puerto Rico; Puerto Rican; Tourism; New York; Abuelas; Distance,inmigrantes; Puerto Rico; Puertorriqueños; turismo; Nueva York; Abuelas; distancia,,Image; StillImage,image/jpeg,Arte Público Press,,,latchbo0028.jpg
latchbo0029,Estrellita Says Good-bye to Her Island,Estrellita se despide de su isla,Samuel Caraballo; Pablo Torrecilla,"As Estrellita leaves her beloved Caribbean island home, she combines all of its features into an ode celebrating its green and eternal beauty.",,2002,"Vieques, Puerto Rico","Vieques, Puerto Rico; Virginia; Madrid, España",18.14741989,-65.44513032,Caribbean Area--Fiction; Nature--Fiction; Spanish language materials--Bilingual,Área Caribe--Ficción; Naturaleza--Ficción; Materiales en español--Bilingüe,Rhyming; Poetry; Ode; Puerto Rico; Puerto Rican; Island; Moving; Migrating,Rima; poesía; oda; Puerto Rico; Puertorriqueño; isla; mudarse; migrando,,Image; StillImage,image/jpeg,Arte Público Press,,,latchbo0029.jpg
latchbo0030,Family,Familia,Diane Gonzales Bertrand; Pauline Rodriguez Howard,"A reluctant participant in the González family reunion, Daniel has some pleasant suprises and discovers the meaning of family.",,1999,"San Antonio, Texas","Kingsville, Texas; San Antonio, Texas",29.43045738,-98.50924795,Family reunions--Fiction; Mexican Americans--Fiction; Spanish language materials--Bilingual,Reuniones de familia--Ficción; Mexicano americanos--Ficción; Materiales en español--Bilingüe,Family; Family trees; Family reunions; Mexican Americans; Parties; Dancing; Piñatas; Mariachis; Pinic,familia; árbol de familia; reuniones de familia; Mexicano americanos; fiestas; bailando; piñatas; mariachis; pinic,,Image; StillImage,image/jpeg,Arte Público Press,,,latchbo0030.jpg
latchbo0031,"Fire, Little Fire","Fuego, Fueguito",Jorge Tetl Argueta; Felipe Ugalde Alcántara,"This book describes in Spanish, English, and Nahuat--the characteristics of fire from the perspective of one little spark.","Este libro describe en español, inglés y nahuat, las características del fuego desde la perspectiva de una llamita.",2019,El Salvador,"El Salvador; San Francisco, California; Cuidad de México, México",13.79768246,-88.8960164,Fire--Fiction; Polyglot materials,Fuego--Ficción; Materiales políglotas,Fire; Spark; Flame; Indigenous author; Trilingual; El Salvador; The life of fire;,Fuego; chispa; llama; Autor indígena; Trilingüe; El Salvador; La vida de fuego,,Image; StillImage,image/jpeg,Arte Público Press,,,latchbo0031.jpg
latchbo0032,Francisco's Kites,Las cometas de Francisco,Alicia Z. Klepeis; Gary Undercuffler,"Francisco misses his village in El Salvador, and especially flying a kite with his friends, but Mamá cannot afford to buy a kite so he gathers discarded materials around his apartment building and makes his own, which catches the eye of a store owner and leads to a wonderful project.",,2015,"Hamilton, New York","Alegria, El Salvador; Hamilton, Nueva York; Pennsylvania",42.82546405,-75.54826395,Kites--Fiction; Recycling (Waste)--Fiction; Handicraft--Fiction; Salvadoran Americans--Fiction; Homesickness--Fiction; Spanish language materials--Bilingual,Cometas--Ficción; Reciclando (Basura)--Ficción; Artesanía--Ficción; Salvadoreños americanos--Ficción; Materiales en español--Bilingüe,El Salvador; Immigrants; Kites; DIY; Crafting; Kite Building; Recycle; Recycling,El Salvador; Inmigrantes; cometas; DIY; haciendo; construyendo cometas; reciclar; reciclando,,Image; StillImage,image/jpeg,Arte Público Press,,,latchbo0032.jpg
latchbo0033,"Goodnight, Papito Dios","Buenas noches, Papito Dois",Victor Villaseñor; José Ramírez,A father comforts his son at bedtime by singing the turtledove song his own mother once sang to him in hopes that the child will awake refreshed and secure in the knowledge that he is loved.,,2007,"Carlsbad, California","Carlsbad, California; Oceanside, California; Los Angeles, California",33.15874098,-117.3499442,Fathers and sons--Fiction; Lullabies--Fiction; Bedtime--Fiction,Padres y hijos--Ficción; Acostarse--Ficción,Lullaby; Turtledoves; Generational; Bedtime; Sleep; Dreams,canción de cuna; tórtolas; generacional; acostarse; dormir; sueños,,Image; StillImage,image/jpeg,Arte Público Press,,,latchbo0033.jpg
latchbo0034,Grandma and Covid,Abuela y El Covid,Airy Sindik; Tony De Luz,A young boy misses his grandmother when she gets sick with COVID19 and cannot visit and call as much as she used to.,,2022,"Houston, Texas","Houston, Texas; Boston, Masschusetts; Camp Verde, Arizona",29.7535998,-95.35739879,Grandmothers--Fiction; Coronavirus--Fiction; Hispanic Americans--Fiction; Spanish language materials--Bilingual,Abuelas--Ficción; Coronavirus--Ficción; Hispanoamericanos--Ficción; Materiales en español--Bilingüe,COVID-19; Coronavirus; Grandmothers; Grandsons; Sickness; Illness; Health Protocols; Social Distancing;,COVID-19; coronavirus; abuelas; nietos; enfermedad; protocolos de salud; distanciamiento social,,Image; StillImage,image/jpeg,Arte Público Press,,,latchbo0034.jpg
