objectid,identifier,filename,title,isbn,title-es,creator,illustrator,translator,description-en,description-es,date,location_first_en,location_first_es,latitude_first,longitude_first,location_second_en,location_second_es,latitude_second,longitude_second,location_third_en,location_third_es,latitude_third,longitude_third,location_fourth_en,location_fourth_es,latitude_fourth,longitude_fourth,subject-en,subject-es,tags-en,tags-es,age_group_interest_level,lexile level,lexile level spanish,atos level english,atos level spanish,ar_id,language,source,type,format,rights,rightsstatement
latchbo0011,1,latchbo0011.jpg,Benito's Sopaipillas,1428745947,Las sopaipillas de Benito,Ana Baca,Anthony Accardo,Carolina Villarroel,"As they prepare to make the traditional, pillowy bread called sopaipilla, Cristina's grandmother tells about the time her great-grandfather, aided by a scarecrow, brought an end to a drought and, in the process, helped make the first sopaipilla.","Mientras se preparan para hacer los panes tradicionales conocidos como sopaipillas, la abuela de Crisitina le cuenta sobre la vez que su tatarabuelo, ayudado por un espantapájaros, puso fin a la sequía y, en el proceso, ayudó a hacer la primera sopaipilla.",2006,"Albuquerque, NM","Alburquerque, NM",35.0855452482484,-106.6687808096480,,,,,,,,,,,,,Mexican Americans--Juvenile fiction; Mexican Americans--Fiction; Bread--Fiction; Droughts--Fiction; Spanish language materials--Bilingual,Mexicano americanos--Literatura Juvenil; Mexicano americanos-- Ficción; Pan--Ficción; Sequías--Ficción; Materiales en español--Bilingüe,Sopaipiilas; Family history; Storytelling; Drought; Scarecrows; Traditional cooking; Recipe,Sopaipiilas; Historia de familia; Narración de cuentos; Sequía; Espantapájaros; Comida tradicional; Receta,lower grades,,,,,,Bilingual (English and Spanish),,Image; StillImage,image/jpg,Arte Público Press,
latchbo0012,1,latchbo0012.jpg,Benjamin and the Word,,Benjamín y la palabra,Daniel A. Olivas,Don Dyen,Gabriela Baeza Ventura,"When Benjamin beats his friend James at handball, James calls him a word that hurts his feelings.  With his father's help, Benjamin comes to understand the ill intent and prejudice that exist behind the use of certain words.","Cuando Benjamín le gana a su amigo James en un partido de pelota de mano, James le dice una palabra que lastima los sentimientos de Benjamín. Con la ayuda de su papá, Benjamín comprende que la mal intención y el prejuicio existe detrás de ciertas palabras.",2005,"San Fernando Valley, CA","San Fernando Valley, California",34.1826591077203,-118.3543736087940,,,,,,,,,,,,,Sportmanship--Fiction; Prejudices--Fiction; Racially mixed people--Fiction; Spanish language materials--Bilingual,Espíritu deportivo--Ficción; Prejuicios--Ficción; Gente mestiza--Ficción; Materiales en español--Bilingüe,Immigrants; Mexico; Biracial; Discrimination; Friendship; Father and sons,Inmigrantes; México; Birracial; Discriminación; Amistad; Padres e hijos,lower grades,,,3,3,87913,Bilingual (English and Spanish),,Image; StillImage,image/jpg,Arte Público Press,
latchbo0013,1,latchbo0013.jpg,Big Enough,,Bastante grande,Ofelia Dumas Lachtman,Enrique O. Sánchez,Yanitzia Canetti,"When a treasured piñata is stolen, little Lupita discovers that she is big enough to help her mother get it back.","Cuando alguien roba una preciada piñata, la pequeña Lupita descubre que ella es lo suficientemente grande para ayudar a su mamá a recuperarla.",1998,"Los Angeles, CA","Los Ángeles, CA",34.0610061466069,-118.2002894138790,,,,,,,,,,,,,Mothers and daughters--Fiction; Piñatas--Fiction; Mexican Americans--Fiction; Stealing--Fiction; Spanish language materials--Bilingual,Madres e hijas--Ficción; Piñatas--Ficción; Mexicano americanos--Ficción; Robo--Ficción; Materiales en español--Bilingüe,Piñatas; Doves; Wooden Carvings; Sentimental value; Family; Community; Restaurant; Growing up; Wanting to help,Piñatas; Palomas; Esculturas de madera;  Familia; Comunidad; Restaurantes; Crecer; querer ayudar,lower grades,,,3.1,3.2,19989,Bilingual (English and Spanish),,Image; StillImage,image/jpg,Arte Público Press,
latchbo0014,1,latchbo0014.jpg,Broken Butterfly Wings,1518506909,Alas de mariposa rotas,Raquel M. Ortiz,Carrie Salazar,,"Gabriela receives a pair of butterfly wings as a gift from her Titi Sylvia; but no matter how hard she tries she cannot seem to fly. Her father, however, shows her she can fly anywhere in the world with her imagination.","Gabriela recibe un par de alas de mariposa como regalo de su Titi Sylvia. No importa cuanto intenta volar, no puede hacerlo. Sin embargo, so padre le muestra como puede volar a cualquier parte del mundo a través de su imaginación.",2021,"El Yunque National Rainforest, Puerto Rico","Bosque Nacional El Yunque, Puerto Rico",18.2952874804298,-65.7996893807938,"Lorain, OH","Lorain, OH",41.4526370972631,-82.1820356445655,"Sierra de Luquillo,Puerto Rico ","Sierra de Luquillo,Puerto Rico ",18.2820355610814,-65.7807518736446,,,,,Butterfly wings--Fiction; Fathers and daughters--Fiction; Spanish language materials--Blingual,Alas de mariposa--Ficción; Padres e hijas--Ficción; Materiales en español–Bilingüe,El Yunque National Rainforest; Puerto Rico; Butterfly Wings; Imagination; Problemsolving,Bosque Nacional El Yunque; Puerto Rico; Alas de mariposa; Imaginación; Resolución de problemas,lower grades,,,,,,Bilingual (English and Spanish),,Image; StillImage,image/jpg,Arte Público Press,
latchbo0015,1,latchbo0015.jpg,Butterflies on Carmen Street,1448775574,Mariposas en la calle Carmen,Monica Brown,April Ward,Gabriela Baeza Ventura,"While she and her classmates wait for the caterpillars they are raising to be tranformed into Monarch butterflies, Julianita's grandfather tells her about the annual migratiion of these butterflies to his hometown in Mexico.","Mientras ella y sus compañeros de clase esperan que las orugas se trasnforman en mariposas monarcas, el abuelo de Julianita le cuenta sobre la migración anual de estas mariposas a su pueblo en México.",2007,"Agangueo, Michoacán, Mexico","Agangueo, Michoacán, México",19.6096991145909,-100.2922978888680,"Flagstaff, AZ","Flagstaff, AZ",35.1982745217028,-111.6492562319230,,,,,,,,,Monarch butterfly--Fiction; Butterflies--Fiction; Grandfathers--Fiction; Mexican Americans--Fiction; Spanish language materials--Bilingual,Mariposas monarcas--Ficción; Mariposas--Ficción; Abuelos--Ficción; Mexicano americanos--Ficción; Materiales en español--Bilingüe,Monarch buttlerflies; Caterpillars; Mexico; School project; Migration; Stories; Grandfathers,Mariposas monarcas; Orugas; México; Proyecto de escuela; Migracion; Historias; Abuelos,lower grades,890L,730L,4.1,4.1,118999,Bilingual (English and Spanish),,Image; StillImage,image/jpg,Arte Público Press,
latchbo0016,1,latchbo0016.jpg,Cecilia and Miguel are Best Friends,155885794X,Cecilia y Miguel son mejores amigos,Diane Gonzales Bertrand,Thelma Muraida,Gabriela Baeza Ventura,A story of two best friends and moments throughout their lives together.,La historia de dos mejores amigos y los momentos que comparten juntos,2014,"San Antonio, TX","San Antonio, TX",29.4318576360270,-98.4979500102036,,,,,,,,,,,,,Best friends--Fiction; Friendship--Fiction; Mexican Americans--Fiction; Spanish language materials--Bilingual,Mejores amigos--Ficción; Amistad--Ficción; Mexicano americanos--Ficción; Materiales en español--Bilingüe,Friends; Best Friends; Memories; Life; Photo album; Stages of Life,Amigos; Mejores Amigos; Recuerdos de la vida; Album de fotos; Etapas de vida,lower grades,,,2.4,2.3,174202,Bilingual (English and Spanish),,Image; StillImage,image/jpg,Arte Público Press,
latchbo0017,1,latchbo0017.jpg,César Chávez: The Strugle for Justice,,César Chávez: La lucha por la justicia,Richard Griswold del Castillo,Anthony Accardo,José Juan Colín,A simple biography of the man who worked to win fairer treatment of the migrant farm workers in California in the 1960s and to establish the United Farm Workers Union.,Una biibliografía sobre el hombre que logró conseguir mejor trato para los trabajadores agrícolas en California en los sesentas y establecer la Unión de Trabajadoes Agrícolas.,2002,"Delano, CA","Delano, CA",35.7686791992137,-119.2466096489020,"Yuma, AR","Yuma, AR",32.6929538290803,-114.6232162693820,,,,,,,,,"Chávez, César, 1927--Juvenile literature; Labor leaders--United States--Biography--Juvenile literature; Mexican Americans--Biography--Juvenile literature; Agricultural laborers--Labor unions--United States--History--Juvenile literature; United Farm Workers--History--Juvenile literature; Spanish language materials--Bilingual","Chávez, César, 1927--Literatura juvenil; Líderes laborales--Estados Unidos--Biografía--Literatura juvenil; Mexicano americanos--Biografía--Literatura juvenil; Trabajadores agrícolas--Estados Unidos--Historia--Literatura juvenil; Materiales en español--Bilingúe",César Chávez; Biography; Historical Leader; Strikes; Mexican American; Nonfiction; Farm Workers; Delano Grape Strike,César Chávez; biografía; Líderes históricos; huelgas; Mexicano americano; no ficción; trabajadores agrícolas; huelga de uvas Delano,lower grades,,,5.1,5.1,,Bilingual (English and Spanish),,Image; StillImage,image/jpg,Arte Público Press,
latchbo0018,1,latchbo0018.jpg,Chave's Memories,1558850848,Los recuerdos de Chave,María Isabel Delgado,Yvonne Symank,,"A woman recalls childhood visits to her grandparents' ranch in Mexico, where she and her brother played with her cousins and listened to the stories of an old ranch hand.",Una mujer reuerda las visitas de su infancia al rancho de sus abuelos en México donde jugaba con su hermano y sus primos y oía las historias de un viejo trabjador del rancho.,1996,"Brownsville, TX","Brownsville, Texas",25.9053273533414,-97.5119813070585,,,,,,,,,,,,,Play--Fiction; Storytelling--Fiction; Mexico--Fiction; Spanish language materials--Bilingual,Jugar--Ficción; Cuenta cuentos--Ficción; México--Ficción; Materiales en español--Bilingüe,Mexico; Mexican American; Ranch; Family; Grandmothers; Cousins; Animals; Stories,"México; Mexicano americanos; Ranchos; Famlia, Abuelas, Primos, Primos; Animales; Cuentos ",lower grades,,,3.6,5.2,18342,Bilingual (English and Spanish),,Image; StillImage,image/jpg,Arte Público Press,
latchbo0019,1,latchbo0019.jpg,Chiles for Benito,1611920078,Chiles para Benito,Ana Baca,Anthony Accardo,José Juan Colín,"As they prepare to make the tradtional ""chile ristras,"" strings of red peppers, Cristina's grandmother tells her the story of how magical chile seeds given to her great grandfather, a farmer in the hills of New Mexico, ensured the continuation of the chile pepper. ","Mientras se preparan para hacer las ristras de chile tradicionales con chile rojo, la abuela de Cristina le cuenta la historia de las semillas mágicas de chile que un granjero le dio a su tatarabuelo, un granjero de las montañas de Nuevo México, y aseguró la continuación del chile.",2003,"Albuquerque, NM","Alburquerque, NM",35.0855452482484,-106.6687808096480,,,,,,,,,,,,,Mexican Americans--Juvenile fiction; Mexican Americans--Fiction; Peppers--Fiction; Spanish language materials--Blingual,Mexicano americanos--Literatura juvenil; Mexicano americanos--Ficción; Chiles--Ficción; Materiales en español--Bilingüe,Chiles; Ristras; Magical seeds; Storytelling; Generations; Tradition; Community; Farming,"Chiles; Ristras, Semillas mágicas; Cuenta cuentos; Generaciones familiares; Tradición; Comunidad; Agricultura",lower grades,,,,,,Bilingual (English and Spanish),,Image; StillImage,image/jpg,Arte Público Press,
latchbo0020,1,latchbo0020.jpg,Clara and the Curandera,1558857001,Clara y la curandera,Monica Brown,Thelma Muraida,Gabriela Baeza Ventura,"Clara's grumpiness leads her mother to take her to a neighbor who is a curandera, or healer, and although she is puzzled by her ""treatments,"" Clara dutifully helps her neighbors, is kind to her siblings, and reads more books for a week.","El malhumor de Clara hace que su mamá la lleve a hablar con la vecina, quien es una curandera, o sanadora, y aunque ella está confusa por sus ""tratamientos"", Clara cuidadosamente ayuda a sus vecinos, y lee más libros cada semana.",2011,"Flagstaff, AZ","Flagstaff, AZ",35.1982950190616,-111.6543106546250,,,,,,,,,,,,,Behavior--Fiction; Healers--Fiction; Family life--Fiction; Spanish language materials--Bilingual,Conducta--Ficción; Curanderas--Ficción; Vida familiar--Ficción; Materiales en español--Bilingüe,Curandera; Sharing; Family; Behavior; Traditional Medicine; Hollistic,Curandera; Compartir; Familia; Comportamiento; Medicina tradicional; Medicina holística,lower grades,,,3.6,3.6,150744,Bilingual (English and Spanish),,Image; StillImage,image/jpg,Arte Público Press,
latchbo0021,1,latchbo0021.jpg,Dalia's Wondrous Hair,1558857893,El cabello maravilloso de Dalia,Laura Lacámara,Laura Lacámara,Gabriela Baeza Ventura,A Cuban girl transforms her long and unruly hair into a garden.,Una niña cubana transforma su cabello largo y rebelde en un jardín.,2014,"Venice, CA","Venice, CA",33.9961852617162,-118.4893354203010,,,,,,,,,,,,,Hair--Fiction; Nature--Fiction; Magic--Fiction; Cuba--Fiction; Spanish language materials--Blingual,Cabello--Ficción; Naturaleza--Ficción; Magia--Ficción; Cuba--Ficción; Materiales en español--Bilingüe,Hair; Cuba; Butterflies; Neighbors; Trees; Mothers and daughters,Cabello; Cuba; Mariposas; Vecinos; Arboles; Madres e hijas,lower grades,680L,670L,3.2,2.8,166957,Bilingual (English and Spanish),,Image; StillImage,image/jpg,Arte Público Press,
latchbo0022,1,latchbo0022.jpg,Dancing Miranda,1558853243,"Baila, Miranda, baila",Diane de Anda,Lamberto Alvarez,Julia Mercedes Castilla,Miranda finds it difficult to rehearse for the dance recital after she learns that her mother's poliomyelitis kept her from dancing when she was a child.,Miranda encuentra difícil ensayar para el recital de baile cuando descubre que su madre no pudo bailar cuando era niña porque tenía poliomelitis.,2001,"Los Angeles, CA","Los Angeles, CA",34.0610061466069,-118.2002894138790,,,,,,,,,,,,,Dance--Fiction; Mothers and daughters--Fiction; Physically handicapped--Fiction; Poliomyelitis--Fiction; Hispanic Americans--Fiction; Spanish language materials--Bilingual,Bailar--Ficción; Madres e hijas--Ficción; Discapacitación física--Ficción; Poliomelitis--Ficción; Hispanoamericanos--Ficción; Materiales en español--Bilingüe,Dancing; Children's Days; Polio; Mothers; Ballet,Baile; Día del Niño; Poliomelitis; Madres; Ballet,lower grades,,,,,,Bilingual (English and Spanish),,Image; StillImage,image/jpg,Arte Público Press,
latchbo0023,1,latchbo0023.jpg,Delicious Hullabaloo,1558852476,Pachanga deliciosa,Pat Mora,Francisco X. Mora,Alba Nora Martínez and Pat Mora,"In this poem in English and Spanish, lizards, armadillos, and other creatures of the night make merry beneath the desert moon, enjoying the strains of a mariachi band and gobbling lots of delicious food.","En este poema en inglés y español, lagartijas, armadillos y otras criaturas de la noche hacen una celebración bajo la luna del desierto, disfrutan del mariachi y comen comida deliciosa.",1998,"El Paso, TX","El Paso, TX",31.7666720268067,-106.4767153174040,,,,,,,,,,,,,Children's poetry; American--Translations into Spanish; Desert animals--Juvenile poetry; Poetry materials--Blingual,Poesía de niños; Americano--Traducciones al español; Animales del desierto--Poesía juvenil; Poesía--Bilingüe,Poetry; Rhyming; Lizards; Armadillos; Animals; Salsa; Plants; Desert,Poesía; Rima; Lagartos; Armadillos; Salsa (comida); Plantas; Desierto,lower grades,,,2.9,3.1,30025,Bilingual (English and Spanish),,Image; StillImage,image/jpg,Arte Público Press,
latchbo0024,1,latchbo0024.jpg,Do I Belong Here?,1558859683,¿Es este mi lugar?,René Colato Laínez,Fabricio Vaden Broeck,,"A young immigrant boy struggles to adjust to his new school as everything is in a language he does not understand, slowly he starts to learn English and keeps working hard to find he does belong here.","Un joven inmigrante lucha por ajustarse a su nueva escuela porque todo está en un lenguaje que no entiende, poco a poco empieza a aprender inglés y sigue trabajando duro para descubrir que sí pertenece a ese lugar.",2023,El Salvador,El Salvador,13.6840641078745,-89.3260044884474,"Los Angeles, CA","Los Angeles, CA",34.0610061466069,-118.2002894138790,,,,,,,,,School--Fiction; Hispanic Americans--Fiction; Spanish language materials--Bilingual,Escuela--Ficción; Hispanoamericanos--Ficción; Materiales en español--Bilingüe,Immigration; Immigrants; New school; New experience; Displacement; Language barriers; Translation,Inmigración; Inmigrantes; Nueva escuela; Nueva experiencia; Desplazamiento; Barrera de idioma; Traducción,lower grades,,,,,,Bilingual (English and Spanish),,Image; StillImage,image/jpg,Arte Público Press,
latchbo0025,1,latchbo0025.jpg,Do You Know the Cucuy?,1558854924,¿Conoces al Cucuy?,Claudia Galindo,Jonathan Coombs,John Pluecker,A child discovers that the monster Grandfather says comes for bad children is really no monster at all.,Un niño inmigrante descubre que el monstruo que Abuelo dice que viene por los niños malos en verdad no es un monstruo.,2008,"Dallas, TX","Dallas, TX",32.7761135672363,-96.8029763883245,,,,,,,,,,,,,Monsters--Fiction; Grandfathers--Fiction; Hispanic Americans--Fiction; Spanish language materials--Bilingual,Monstruos--Ficción; Abuelos--Ficción; Hispanoamericanos--Ficción; Materiales en español--Bilingüe,Boogeyman; Bogeyman; Monsters; Folklore; Friendship; Cousins,El cucuy; El coco; El cuco; Monstruos; Folklore; Amistad; Primos,lower grades,,,1.9,2.8,122547,Bilingual (English and Spanish),,Image; StillImage,image/jpg,Arte Público Press,
latchbo0026,1,latchbo0026.jpg,"Earth, Little Earth",1558859675,"Tierra, Tierrita",Jorge Tetl Argueta,Felipe Ugalde Alcántara,Elizabeth Bell,"This book describes--in English , Spanish and Nahuat--the characterstics of the Earth from the perspective of nature.","Este libro describe--en inglés, español y nahuat-- las caraterísticas de la Tierra desde la perspectiva de la naturaleza.",2023,"San Francisco, CA","San Francisco, CA",37.7763978658059,-122.4187202574820,,,,,,,,,,,,,Earth--Fiction; Polyglot materials,Tierra--Ficción; Materiales políglotas,Indigenous author; Trilingual; Earth; Nature; Planet; Animals; Plants; Interconnectedness,Autor indígena; Trilingüe; Tierra; Naturaleza; Planeta; Animales; Plantas; Interconexión,lower grades,,,,,,"Trilingual (English, Spanish, and Nahuat)",,Image; StillImage,image/jpg,Arte Público Press,
