objectid,title,Creator ,description,Date,location,Latitude,Longitude,subject,source,type,format,rights,rightsstatement,object_location,filename
latchbo0011,Benito's Sopaipillas,Ana Baca; Anthony Accardo,"As they prepare to make the traditional, pillowy bread called sopaipilla, Cristina's grandmother tells about the time her great-grandfather, aided by a scarecrow, brought an end to a drought and, in the process, helped make the first sopaipilla.",2006,"Albuquerque, New Mexico",35.08423731,-106.6414756,Mexican Americans--Juvenile fiction; Mexican Americans--Fiction; Bread--Fiction; Droughts--Fiction; Spanish language materials--Bilingual,,Image; StillImage,image/jpeg,Arte Público Press,,,latchbo0011.jpg
latchbo0012,Benjamin and the Word,Daniel A. Olivas; Don Dyen,"When Benjamin beats his friend James at handball, James calls him a word that hurts his feelings but Benjamin with his father's help comes to understand the ill intent and prejudice that exist behind the use of certain words.",2005,"San Fernando Valley, Los Angeles, California",35.09139692,-106.596666,Sportmanship--Fiction; Prejudices--Fiction; Racially mixed people--Fiction; Spanish language materials--Bilingual,,Image; StillImage,image/jpeg,Arte Público Press,,,latchbo0012.jpg
latchbo0013,Big Enough,Ofelia Dumas Lachtman; Enrique O. Sánchez,"When a treasured piñata is stolen, little Lupita discovers that she is big enough to help her mother get it back.",1998,"Los Angeles, California; Dominican Republic; Florida",34.0507663,-118.2648393,Size--Fiction; Mothers and daughters--Fiction; Piñatas--Fiction; Mexican Americans--Fiction; Stealing--Fiction; Spanish language materials--Bilingual ,,Image; StillImage,image/jpeg,Arte Público Press,,,latchbo0013.jpg
latchbo0014,Broken Butterfly Wings,Raquel M. Ortiz,"Gabriela receives a pair of butterfly wings as a gift from her Titi Sylvia; but no matter how hard she tries she cannot seem to fly, however her father shows her she can fly anywhere in the world with her imagination.",2021,"El Yunque National Rainforest, Puerto Rico",18.31103763,-65.79144584,Butterfly wings--Fiction; Fathers and daughters--Fiction; Spanish language materials--Blingual,,Image; StillImage,image/jpeg,Arte Público Press,,,latchbo0014.jpg
latchbo0015,Butterflies on Carmen Street,Monica Brown; April Ward,"While she and her classmates wait for the caterpillars they are raising to be tranformed into Monarch butterflies, Julianita's grandfather tells her about the annual migratiion of these butterflies to his hometown in Mexico.",2007,"Agangueo, Michoacán, Mexico",19.60961826,-100.2926412,Monarch butterfly--Fiction; Butterflies--Fiction; Grandfathers--Fiction; Mexican Americans--Fiction; Spanish language materials--Bilingual,,Image; StillImage,image/jpeg,Arte Público Press,,,latchbo0015.jpg
latchbo0016,Cecilia and Miguel are Best Friends,Diane Gonzales Bertrand; Thelma Muraida,A story of two best friends and moments throughout their lives together.,2014,"San Antonio, Texas",29.43045738,-98.50924795,Best friends--Fiction; Friendship--Fiction; Mexican Americans--Fiction; Spanish language materials--Bilingual,,Image; StillImage,image/jpeg,Arte Público Press,,,latchbo0016.jpg
latchbo0017,César Chávez: The Strugle for Justice,Richard Girswold del Castillo; Anthony Accardo,A simple biography of the man who worked to win fairer treatment of the migrant farm workers in California in the 1960s and to establish the United Farm Workers union. ,2002,"Delano, California",35.76915878,-119.2476734,"Chávez, César, 1927--Juvenile literature; Labor leaders--United States--Biography--Juvenile literature; Mexican Americans--Biography--Juvenile literature; Agricultural laborers--Labor unions--United States--History--Juvenile literature; United Farm Workers--History--Juvenile literature; Chávez, César, 1927--; Labor leaders; Mexican Americans--Biography; United Farm Workers; Spanish language materials--Bilingual",,Image; StillImage,image/jpeg,Arte Público Press,,,latchbo0017.jpg
latchbo0018,Chave's Memories,María Isabel Delgado; Yvonne Symank,"A woman recalls childhood visits to her grandparents' ranch in Mexico, where she and her brother played with her cousins and listened to the stories of an old ranch hand.",1996,"Brownsville, Texas; Grand Prairie, Texas; Houston, Texas",25.92014964,-97.49550374,Play--Fiction; Storytelling--Fiction; Mexico--Fiction; Spanish language materials--Bilingual,,Image; StillImage,image/jpeg,Arte Público Press,,,latchbo0018.jpg
latchbo0019,Chiles for Benito,Ana Baca; Anthony Accardo,"As they prepare to make the tradtional ""chile ristras,"" strings of red peppers, Cristina's grandmother tells her the story of how magical chile seeds given to her great-grandfather, a farmer in the hills of New Mexico, ensured the continuation of the chile pepper. ",2003,"Albuquerque, New Mexico",35.08423731,-106.6414756,Mexican Americans--Juvenile fiction; Mexican Americans--Fiction; Peppers--Fiction; Spanish language materials--Blingual,,Image; StillImage,image/jpeg,Arte Público Press,,,latchbo0019.jpg
latchbo0020,Clara and the Curandera,Monica Brown; Thelma Muraida,"Clara's grumpiness leads her mother to take her to a neighbor who is a curandera, or healer, and although she is puzzled by her ""treatments,"" Clara dutifully helps her neighbors, is kind to her siblings and reads more books for a week.",2011,"Flagstaff, Arizona; San Antonio, Texas",35.19787338,-111.653097,Behavior--Fiction; Healers--Fiction; Family life--Fiction; Spanish language materials--Bilingual,,Image; StillImage,image/jpeg,Arte Público Press,,,latchbo0020.jpg
latchbo0021,Dalia's Wondrous Hair,Laura Lacámara,A Cuban girl transforms her long and unruly hair into a garden.,2014,"Cuba; Venice, California",23.11481167,-82.35575307,Hair--Fiction; Nature--Fiction; Magic--Fiction; Cuba--Fiction; Spanish language materials--Blingual,,Image; StillImage,image/jpeg,Arte Público Press,,,latchbo0021.jpg
latchbo0022,Dancing Miranda,Diane de Anda; Lamberto Alvarez,Miranda finds it difficult to rehearse for the dance recital after she learns that her mother's poliomyelitis kept her from dancing when she was a child.,2001,"Los Angeles, California",34.0507663,-118.2648393,Dance--Fiction; Mothers and daughters--Fiction; Physically handicapped--Fiction; Poliomyelitis--Fiction; Hispanic Americans--Fiction; Spanish language materials--Bilingual,,Image; StillImage,image/jpeg,Arte Público Press,,,latchbo0022.jpg
latchbo0023,Delicious Hullabaloo,Pat Mora; Francisco X. Mora,"In this poem in English and Spanish, lizards, armadillos and other creatures of the night make merry beneath the desert moon, enjoying the strains of a mariachi band and gobbling lots of delicious food.",1998,"Santa Fe, New Mexico",35.68553282,-105.945617,Childrens poetry. American--Translations into Spanish; Desert animals--Juvenile poetry; Desert animals--Poetry materials--Blingual,,Image; StillImage,image/jpeg,Arte Público Press,,,latchbo0023.jpg
latchbo0024,Do I Belong Here?,René Caolto Laínez; Fabricio Vaden Broeck,"A young immigrant boy struggles to adjust to his new school as everything is in a language he does not understand, slowly he starts to learn English and keeps working hard to find he does belong here.",2023,"San, Salvador, El Salvador; Los Angeles",13.69473844,-89.19138814,School--Fiction; Hispanic Americans--Fiction; Spanish language materials--Bilingual,,Image; StillImage,image/jpeg,Arte Público Press,,,latchbo0024.jpg
latchbo0025,Do You Know the Cucuy?,Claudia Galindo; Jonathan Coombs,A child discovers that the monster grandfather maintains comes for bad children is really no monster at all.,2008,"Dallas, Texas",32.77322691,-96.78649691,Monsters--Fiction; Grandfathers--Fiction; Hispanic Americans--Fiction; Spanish language materials--Bilingual,,Image; StillImage,image/jpeg,Arte Público Press,,,latchbo0025.jpg
latchbo0026,"Earth, Little Earth",Jorge Tetl Argueta; Felipe Ugalde Alcántara,"Describes--in English , Spanish, and Nahuat--the characterstics of the Earth from the perspective of nature.",2023,El Salvador,13.79768246,-88.8960164,Earth--Fiction; Polyglot materials,,Image; StillImage,image/jpeg,Arte Público Press,,,latchbo0026.jpg
latchbo0027,"Esteban de Luna, Baby Rescuer!",Larissa M. Mercado-López; Alex Pardo DeLange,"When Esteban thinks his green cape lacks super powers he decides to sell it, but at the park as a storm blows in he finds a baby doll on the swings, so he rescues it by bringing it home safely, making him feel like a super hero after all.",2017,"Gregory, Texas",27.92230458,-97.28986926,Heros--Fiction; Imagination--Fiction; Dolls--Fiction,,Image; StillImage,image/jpeg,Arte Público Press,,,latchbo0027.jpg
latchbo0028,Estrellita in the Big City,Samuel Caraballo; Pablo Torrecilla,"Relates, in Spanish and English, a telephone conversation in which young Estrellita, who has recently moved to Brooklyn, New York, tells her grandmother, who still lives in Puerto Rico, all about her adventures in and near Manhattan.",2008,"Manhattan, New York",40.71584923,-73.9905199,Immigrants--New York(State)--New York--Fiction; Puerto Ricans--New York(State)--New York--Fiction; Grandmothers--Fiction; New York (N.Y.)--Fiction,,Image; StillImage,image/jpeg,Arte Público Press,,,latchbo0028.jpg
latchbo0029,Estrellita Says Good-bye to Her Island,Samuel Caraballo; Pablo Torrecilla,"As Estrellita leaves her beloved Caribbean island home, she combines all of its features into an ode celebrating its green and eternal beauty.",2002,"Vieques, Puerto Rico",18.14741989,-65.44513032,Caribbean Area--Fiction; Nature--Fiction; Spanish language materials--Bilingual,,Image; StillImage,image/jpeg,Arte Público Press,,,latchbo0029.jpg
latchbo0030,Family,Diane Gonzales Bertrand; Pauline Rodriguez Howard,"A reluctant participant in the González family reunion, Daniel has some pleasant suprises and discovers the meaning of family.",1999,"San Antonio, Texas",29.43045738,-98.50924795,Family reunions--Fiction; Mexican Americans--Fiction; Spanish language materials--Bilingual,,Image; StillImage,image/jpeg,Arte Público Press,,,latchbo0030.jpg
latchbo0031,"Fire, Little Fire",Jorge Tetl Argueta; Felipe Ugalde Alcántara,"This book describes in Spanish, English, and Nahuat--the characteristics of fire from the perspective of one little spark.",2019,El Salvador,13.79768246,-88.8960164,Fire--Fiction; Polyglot materials,,Image; StillImage,image/jpeg,Arte Público Press,,,latchbo0031.jpg
latchbo0032,Francisco's Kites,Alicia Z. Klepeis; Gary Undercuffler,"Francisco misses his village in El Salvador, and especially flying a kite with his friends, but Mamá cannot afford to buy a kite so he gathers discarded materials around his apartment building and makes his own, which catches the eye of a store owner and leads to a wonderful project.",2015,"Hamilton, New York",42.82546405,-75.54826395,Kites--Fiction; Recycling (Waste)--Fiction; Handicraft--Fiction; Salvadoran Americans--Fiction; Homesickness--Fiction; Spanish language materials--Bilingual,,Image; StillImage,image/jpeg,Arte Público Press,,,latchbo0032.jpg
latchbo0033,"Goodnight, Papito Dios",Victor Villaseñor; José Ramírez,A father comforts his son at bedtime by singing the turtledove song his own mother once sang to him in hopes that the child will awake refreshed and secure in the knowledge that he is loved.,2007,"Carlsbad, California",33.15874098,-117.3499442,Fathers and sons--Fiction; Lullabies--Fiction; Bedtime--Fiction,,Image; StillImage,image/jpeg,Arte Público Press,,,latchbo0033.jpg
latchbo0034,Grandma and Covid,Airy Sindik; Tony De Luz,A young boy misses his grandmother when she gets sick with COVID19 and cannot visit and call as much as she used to.,2022,"Houston, Texas",29.7535998,-95.35739879,Grandmothers--Fiction; Coronavirus--Fiction; Hispanic Americans--Fiction; Spanish language materials--Bilingual,,Image; StillImage,image/jpeg,Arte Público Press,,,latchbo0034.jpg
latchbo0035,Grandma's Chocolate,Mara Price; Lisa Fields,"When Sabrina's grandmother visits from Mexico, she brings gifts that make Sabrina feel like a Mayan princess. ",2010,Southern California,34.18924591,-117.9502971,Grandmothers--Fiction; Mayas--Fiction; Indians of Mexico--Fiction; Mexican Americans--Fiction; Spanish language materials--Blingual,,Image; StillImage,image/jpeg,Arte Público Press,,,latchbo0035.jpg
latchbo0036,Grandpa Used to Live Alone,Amy Costales; Esperanza Gama,"A young woman recalls her grandfather's abiding prescence in her life as he cares for her throughout her infancy and childhood while her mother is at school or work, until she is the one fixing his snacks and seeing him safely to bed.",2010,"Eugene, Oregon; Guadalajara, Jalisco, Mexico; Chicago, Illnois",44.05348068,-123.086161,Grandfathers--Fiction; Spanish language materials--Bilingual,,Image; StillImage,image/jpeg,Arte Público Press,,,latchbo0036.jpg
latchbo0037,Growing up on the Playground,James Luna; Monica Barela-Di Bisceglie,"From the first day of kindergarten, Ana and her friends have fun and encourage each other on the playground until, in sixth grade, they must leave it to the younger children.",2018,"Riverside, California",33.98243576,-117.3765285,Playgrounds--Fiction; Friendship--Fiction; Growth--Fiction; Schools--Fiction; Spanish language materials--Fiction,,Image; StillImage,image/jpeg,Arte Público Press,,,latchbo0037.jpg
latchbo0038,Growing up with Tamales,Gwendolyn Zepeda; April Ward,Six-year-old Ana looks forward to growing older and being allowed more responsibility in making tamales for the family's Christmas celebrations.,2008,"Houston, Texas",29.7535998,-95.35739879,Growth--Fiction; Cookery--Fiction; Hispanic Americans--Fiction; Spanish language materials--Bilingual,,Image; StillImage,image/jpeg,Arte Público Press,,,latchbo0038.jpg
latchbo0039,"Halloween, A Day for Witches",Maria L. Gutiérrez; Nicole Montenegro,Told as poem in Spanish and English a young boy recounts the excitement of Halloween night.,2022,"Oxnard, California",34.19926211,-119.1816648,Halloween--Fiction; Hispanic Americans--Fiction; Spanish language materials--Bilingual,,Image; StillImage,image/jpeg,Arte Público Press,,,latchbo0039.jpg
latchbo0040,Harvesting Friends,Kathleen Contreras; Gary Undercuffler,"After learning that a hungry classmate is taking tomatoes fro their garden, Lupe and her mother invite neighbors to help in what becomes a community garden and gathering place. Includes recipes.",2018,"Ventura, California; Pennsylvania",34.28116432,-119.293766,Gardening--Fiction; Community gardens--Fiction; Neighborhoods--Fiction; Hispanic American--Fiction; Spanish language materials--Bilingual,,Image; StillImage,image/jpeg,Arte Público Press,,,latchbo0040.jpg
latchbo0041,"Hit It, Hit It, Hit It: A Fiesta of Numbers",René Saldaña Jr.; Carolyn Dee Flores,"In this bilingual counting picture book, a young boy counts to fourteen in anticipation of his birthday party: one piñata filled with candy; two hours until the party; three tables set for all of the guests, etc.",2013,"Lubbbock, Texas",33.58345601,-101.8390701,Birthdays--Fiction; Parties--Fiction; Counting; Spanish language materials--Bilingual,,Image; StillImage,image/jpeg,Arte Público Press,,,latchbo0041.jpg
latchbo0042,"I am René, the Boy",René Colato Laínez; Fabiola Graullera Ramírez,"When René  learns that in the United States his name is also a girl's name, he does some research and relates the name's meaning and letters to his homeland of El Salvador and the things that make him special.",2005,"San Salvador, El Salvador",13.69473844,-89.19138814,"Salvadoran Americans--Juvenile fiction; Salvadoran Americans--Fiction; Names, Personal--Fiction; Schools--Fiction; Bilingualism--Fiction; Spanish language materials--Bilingual",,Image; StillImage,image/jpeg,Arte Público Press,,,latchbo0042.jpg
latchbo0043,I Kick the Ball,Gwendolyn Zepeda; Pablo Torrecilla,"Young Toñito thinks and dreams of soccer all the time, even as he does homework, eats dinner and spends time with his family.",2011,"Houston, Texas",29.7535998,-95.35739879,Soccer--Fiction; Spanish language materials--Bilingual,,Image; StillImage,image/jpeg,Arte Público Press,,,latchbo0043.jpg
latchbo0044,Icy Watermelon,Mary Sue Galindo; Pauline Rodriguez Howard,"When three generations of a family gather to eat watermelon, the grandparents reminisce about how the sweet fruit brought them together.",2001,"Laredo, Texas",27.50559318,-99.50569606,Grandparents--Fiction; Watermelon--Fiction; Mexican Americans--Fiction; Spanish language materials--Bilingual,,Image; StillImage,image/jpeg,Arte Público Press,,,latchbo0044.jpg
latchbo0045,Isabel Allende: Memories for a Story,Raquel Benatar; Fernando Molinari,A desccription of the childhood and youth of the Chilean author Isabel Allende.,2003,"Santiago, Chile",-33.44747358,-70.65662202,"Allende, Isabel--Childhood and youth--Juvenile literature; Allende, Isabel--Family--Juvenile literature; Allende family--Juvenile literature; Authors, Chilean--20th century--Biography--Juvenile literature; Allende, Isabel--Childhood and youth; Authors, Chilean; Spanish language materials--Bilingual",,Image; StillImage,image/jpeg,Arte Público Press,,,latchbo0045.jpg
latchbo0046,It's Bedtime Cucuy!,Claudia Galindo; Jonathan Coombs,Cucuy does everything he can think of to avoid going to bed in this rhyming story told in Spanish and English.,2008,"Dallas, Texas",32.77495893,-96.80022982,Bedtime--Fiction; Behavior--Fiction; Monsters--Fiction; Spanish language materials--Bilingual,,Image; StillImage,image/jpeg,Arte Público Press,,,latchbo0046.jpg
latchbo0047,Josefina's Habichuelas,Jasminne Mendez; Flor De Vita,"Josefina gives up eating desserts for the forty days and forty nights of Lent as a reward her mother along with Tías and Abuela teach her to make habichuelas con dulce, a traditional Dominican dessert to be enjoyed with family during the Easter holiday.",2021,Dominican Republic,18.92615756,-70.19338066,Mothers and daughters--Fiction; Hispanic Americans--Fiction; Spanish language materials--Bilingual,,Image; StillImage,image/jpeg,Arte Público Press,,,latchbo0047.jpg
latchbo0048,Juan and the Chupacabras,Xavier Garza; April Ward,"After hearing about thier grandfather's boyhood encounter with the Chupacabras, a green, winged creature with glowing eyes, Juan and his cousin Luz decide to find out if the story could be true. ",2006,"Rio Grande Valley, Texas",26.37962155,-98.82032409,Monsters--Fiction; Grandfathers--Fiction; Spanish language materials--Bilingual,,Image; StillImage,image/jpeg,Arte Público Press,,,latchbo0048.jpg
latchbo0049,Just One Itsy Bitsy Little Bite,Xavier Garza; Flor De Vita,"Just as Joaquin and his mother are about to enjoy their pan de muerto on the Day of the Dead, a skeleton arrives offering to play music in exchange for one tiny bite.",2018,"San Antonio, Texas",29.43045738,-98.50924795,Pastry--Fiction; Skeleton--Fiction; Musicians--Fiction; Mariachi--Fiction; All 'Souls' Day--Fiction; Spanish language materials--Bilingual,,Image; StillImage,image/jpeg,Arte Público Press,,,latchbo0049.jpg
latchbo0050,Kikirikí,Diane de Anda; Daniel Lechón,"Marta and Celia are horrified to learn that their family plans to eat the rooster their abuela brought home, and they set out to save him.",2004,"Los Angeles, California",34.0507663,-118.2648393,Mexican Americans--Juvenile fiction; Mexican Americans--Fiction; Roosters--Fiction,,Image; StillImage,image/jpeg,Arte Público Press,,,latchbo0050.jpg
latchbo0051,La Llorona Can't Scare Me,Xavier Garza,"A young boy, Damian, remains unfrightened by La Llorona and all of her monster friends.",2021,"Rio Grande Valley, Texas",26.37962155,-98.82032409,La Llorona--Fiction; Monsters--Fiction; Hispanic Americans--Fiction; Spanish language materials--Bilingual,,Image; StillImage,image/jpeg,Arte Público Press,,,latchbo0051.jpg
latchbo0052,Let's Dance,Judith Ortiz Cofer; Christina Ann Rodriguez,"A young girl and her mother put on their red dresses and dance their way through the barrio, collecting friends and neighbors along the way as they go to the park to hear her father's salsa band play.",2011,"Hormigueros, Puerto Rico",18.13825998,-67.11061126,Dance--Fiction; Salsa (Music)--Fiction; Hispanic Americans--Fiction; Bands (Music)--Fiction,,Image; StillImage,image/jpeg,Arte Público Press,,,latchbo0052.jpg
latchbo0053,Let's Salsa,Lupe Ruiz-Flores; Robert Casilla,"Estela watches the women from her neighborhood dance and enjoy the salsa classes offered from the recreation center, eventually her mother joins as well, however Estela and all other children are banned and Estela decides to protest.",2013,"San Antonio, Texas",29.43045738,-98.50924795,"Salsa (Dance)--Juvenile Fiction; Petition, Right of--Juvenile Fiction; Communities--Juvenile Fiction; Salsa (Dance)--Fiction; Social action--Fiction; Community life--Fiction; Spanish language materials--Bilingual",,Image; StillImage,image/jpeg,Arte Público Press,,,latchbo0053.jpg
latchbo0054,Level Up,Gwendolyn Zepeda; Pablo Torrecilla,"David is always about to reach a new level of a video game when his friends invite him to play outside, but while the game is broken, he discovers tha learning to skateboard or play basketball can be like ""leveling up"" in real life.",2012,"Houston, Texas",29.7535998,-95.35739879,Video games--Fiction; Play--Fiction; Spanish language materials--Bilingual,,Image; StillImage,image/jpeg,Arte Público Press,,,latchbo0054.jpg
latchbo0055,Little Crow to the Rescue,Victor Villaseñor; Felipe Ugalde Alcántara,"When his father teaches him to beware of the tricky human beings, who try to hit birds with rocks, Little Crow shares an idea which causes all the crows to proclaim him a genius and alters their future.",2005,"Carlsbad, California",33.16052951,-117.3507665,Crows--Fiction; Human-animal relationships--Fiction; Spanish language materials--Bilingual,,Image; StillImage,image/jpeg,Arte Público Press,,,latchbo0055.jpg
latchbo0056,"Luminous Moon, Where Are You?",Aracely De Alvarado; Victoria Castillo,Juanito wonders where the moon has hidden as he searches for its light.,2020,"Monterrey,  Nuevo León, Mexico",25.68435984,-100.3306518,Moon--Fiction; Animals--Fiction; Hispanic Americans--Fiction; Spanish language materials--Bilingual,,Image; StillImage,image/jpeg,Arte Público Press,,,latchbo0056.jpg
latchbo0057,Lupita's First Dance,Lupe Ruiz-Flores; Gabhor Utomo,"Lupita is excited about dancing La Raspa, a Mexican folk dance, with her first-grade class at a celebration of Children's Day, el Dia Ñino, but just before the performance her partner, Ernesto, sprains his ankle.",2013,"San Antonio, Texas",29.43045738,-98.50924795,Folk dancing--Fiction; Children's Day--Fiction; Spanish Language Materials--Bilingual,,Image; StillImage,image/jpeg,Arte Público Press,,,latchbo0057.jpg
latchbo0058,Lupita's Papalote,Lupe Ruiz-Flores; Pauline Rodriguez Howard,"A young girl wants to fly a kite, but her family cannot afford to buy one, so her father helps her make a kite of her own.",2002,"San Antonio, Texas",29.43045738,-98.50924795,Kites--Fiction; Fathers and daughters--Fiction; Spanish language materials--Bilingual,,Image; StillImage,image/jpeg,Arte Público Press,,,latchbo0058.jpg
latchbo0059,Magda's Piñata Magic,Becky Chavarría-Cháirez; Anne Vega,"When Tío Manuel brings home a very special piñata for Gabriel's birthday party, his sister Magda figures out an ingenious way to preserve it and still make the party guests happy.",2001,"San Antonio, Texas",29.43045738,-98.50924795,Piñatas--Fiction; Birthdays--Fiction; Parties--Fiction; Brothers and sisters--Fiction; Spanish language materials--Bilingual,,Image; StillImage,image/jpeg,Arte Público Press,,,latchbo0059.jpg
latchbo0060,Magda's Tortillas,Becky Chavarría-Cháirez; Anne Vega,"While learning to make tortillas on her seventh birthday, Magda tries to make perfectly round ones like those made by her grandmother but instead creates wonderful shapes.",2000," San Antonio, Texas",29.43045738,-98.50924795,Shape--Fiction; Grandmothers--Fiction; Tortillas--Fiction; Cookery Mexican--Fiction; Birthdays--Fiction; Spanish language materials--Bilingual,,Image; StillImage,image/jpeg,Arte Público Press,,,latchbo0060.jpg
latchbo0061,Marina's Muumuu,Evangelina Vigil-Piñón; Pablo Torrecilla,"Marina has always dreamed of having a colorful muumuu, the traditional dress of Hawaiian people, and finally goes to the bustling downtown with her grandmother to buy the fabric.",2001,"San Antionio, Texas",29.43045738,-98.50924795,Clothing and dress-Hawaii--Fiction; Racially mixed people--Fiction; Spanish language materials--Bilingual,,Image; StillImage,image/jpeg,Arte Público Press,,,latchbo0061.jpg
latchbo0062,Maxy Survices the Hurricane,Ricia Anne Chansky / Yarelis Marcial Acevedo; Olga Barinova,"Maxy the dog survives Hurricane Maria, and like many who go through natural diasters, he is latter terrified of storms and rain.",2021,"Mayagüez, Puerto Rico",18.19029253,-67.13640792,"Dogs--Fiction; Fear--Fiction; Hurricane Maria, 2017--Fiction; Puerto Rico--Fiction; Spanish language materials--Bilingual",,Image; StillImage,image/jpeg,Arte Público Press,,,latchbo0062.jpg
latchbo0063,Maya and Annie on Saturdays and Sundays,Gwendolyn Zepeda; Thelma Muraida,"Told in two voices and languages, Vietnamese American Annie and Hispanic American Maya attend different schools but spend nearly every weekend together, until something special happens to bring them closer together.",2018,"Houston, Texas",29.7535998,-95.35739879,Friendship--Fiction; Hispanic Americans--Fiction; Vietnamese Americans--Fiction; Single-parent families--Fiction; Remarriage--Fiction; Spanish language materials--Bilingual,,Image; StillImage,image/jpeg,Arte Público Press,,,latchbo0063.jpg
latchbo0064,Mayanito's New Friends,"Jesús Abraham ""Tato"" Laviera; Gabhor Utomo",Mayanito travels from his mountain top village of his tribe to befriend the animals of the jungle and the human children of the village below.,2017,"Santurce, Puerto Rico",18.46721251,-66.11721872,Mayans--Fiction; Friendship--Fiction; Traveling--Fiction; Spanish language materials--Bilingual,,Image; StillImage,image/jpeg,Arte Público Press,,,latchbo0064.jpg
